gamma_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,gamma_instrument,Columns,fitler1,filter1_min_window,filter1_window_size,min_depth,max_depth
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013458\RN013458_Gamma_Down.las,RN013458,621382,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.9,31.78
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN016933\RN016933_Gamma_down.LAS,RN016933,628355,5,top of casing,A031,GAMMA,binomial,11,11,1.1952,54.4602
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017339\RN017339_Gamma_down.LAS,RN017339,626660,3,unknown,A031,GAMMA,binomial,11,11,1.1952,49.998
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\TiTree\RN017350\RN017350_Gamma_down.LAS,RN017350,628366,5,top of casing,A031,GAMMA,binomial,11,11,1.1952,97.8561
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017393\RN017393_Gamma_down.LAS,RN017393,628371,3,unknown,A031,GAMMA,binomial,11,11,1.1952,67.0227
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017536\RN017536_Gamma_Down_100m.las,RN017536,621381,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.672,100.778
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017536\RN017536_Gamma_Down_100_200m.las,RN017536,621381,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,100.08,200.8
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017536\RN017536_Gamma_Down_200_EOH.las,RN017536,621381,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,200.107,310.797
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN017537\RN017537_Gamma_Down.las,RN017537,621380,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.6,110.96
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN017585\RN017585_Gamma_down.LAS,RN017585,628354,5,top of casing,A031,GAMMA,binomial,11,11,1.1952,80.751
