induction_path,WELL,UWI,DEPTH_REFERENCE_ID_x,Reference Point,induction_instrument,filter1,filter1_min_window,filter1_window_size,filter2,filter2_min_window,filter2_window_size,sampling_interval,Columns,min_depth,max_depth
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR36_RN040783\RN040783_KR36_ind_down.LAS,KR36,635736,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",7.375,146.505
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR38\KR38_ind_down.LAS,KR38,635737,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.605,40.505
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR40\KR40_ind_down.LAS,KR40,635738,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.6054,49.5254
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR45\KR45_ind_down.LAS,KR45,635739,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.605,41.025
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR46\KR46_ind_down.LAS,KR46,635740,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.4846,42.4646
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR48\KR48_ind_down.LAS,KR48,635741,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.135,37.965
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR49\KR49_ind_down.LAS,KR49,635742,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.605,40.505
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR50a\KR50A_ind_down.LAS,KR50A,635743,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.585,47.005
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR50b_RN040780\RN04780_KR50m_ind_down.LAS,KR50b,635744,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",7.505,136.465
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR51a\KR51A_ind_down.LAS,KR51A,635745,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.605,50.005
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR51b\KR51B_ind_down.LAS,KR51B,635746,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",3.085,94.56499
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR54\KR54_ind_down3.LAS,KR54,635747,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.265,36.465
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR55\KR55_ind_up2.LAS,KR55,635748,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.3904,28.4604
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR58\KR58_ind_down.LAS,KR58,635749,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",0.645,26.995
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR61_RN039891\KR61_ind_down.LAS,KR61,635750,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",7.165,144.465
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore1\NTroad_bore1_induction_down.las,NTroad_bore1,635957,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",7.575,27.455
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore2\NTroad_bore2_induction_down.las,NTroad_bore2,635958,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",7.955,39.425
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore3\NTroad_bore3_induction_down.las,NTroad_bore3,635959,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",25.215,60.955
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore4\NTroad_bore4_induction_down.las,NTroad_bore4,635960,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",6.82,54.54
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Ord16\Ord16_conductivity_down.las,Ord16,636191,10,top of casing protector,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,2.08,23.15
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\Ord24\Ord24_induction_down.las,Ord24,636194,10,top of casing protector,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",2.615,29.455
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y16A_Ord37\Y16A_Ord37_conductivity_down.las,Ord37,636192,10,top of casing protector,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,1.98,14.66
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y10A_Ord40\Y10A_Ord40_conductivity_down.las,Ord40,636203,10,top of casing protector,A034,median,5,15,binomial,5,15,0.1,INDUCTION_CALIBRATED,1.97,14.16
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN006504\RN006504_Induction_down.LAS,RN006504,628372,5,top of casing,HII-383,median,5,15,binomial,5,15,0.1,"DEEP_INDUCTION,MEDIUM_INDUCTION",1.4399,93.3572
