induction_path,gamma_path,LOC,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,induction_instrument,gamma_instrument,BOREHOLE_NAME,ORIG_LON,ORIG_LAT,ORIG_Z,ORIG_SRID,ENO,COUNTRY,STATE,ELEVATION_VALUE,INPUT_UNCERTAINTY_Z,ELEVATION_UOM,ELEVATION_DATUM,ELEVATION_DATUM_CONFIDENCE,DEPTH_REFERENCE_TYPE,DEPTH_REFERENCE_DATUM,DEPTH_REFERENCE_HEIGHT,DEPTH_REFERENCE_UOM,ALTERNATE_NAMES,LOCATION_METHOD,GDA94_LONGITUDE,GDA94_LATITUDE,SRID,COORD_REF_SYS_NAME,DEPTH_REFERENCE_TYPE_ID,Reference_datum_height_(mAGL),ground_elevation_(mAHD),vertical_datum,projected_crs,easting,northing,geographic_crs,STRT_induction,STRT_gamma,STOP_induction,STOP_gamma,STEP_induction,STEP_gamma,NULL_induction,NULL_gamma,COMP_induction,COMP_gamma,WELL_induction,WELL_gamma,DATE_induction,DATE_gamma,UWI_induction,UWI_gamma,X_induction,X_gamma,Y_induction,Y_gamma,LONGI_induction,LONGI_gamma,LATI_induction,LATI_gamma,GDAT_induction,GDAT_gamma,HZCS_induction,HZCS_gamma,LMF_induction,LMF_gamma,APD_induction,APD_gamma,EPD_induction,EPD_gamma,PDAT_induction,PDAT_gamma,STAT_induction,STAT_gamma,CTRY_induction,CTRY_gamma,SRVC_induction,SRVC_gamma,LOC_induction,LOC_gamma,FLD_induction,FLD_gamma
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y16A_Ord37\Y16A_Ord37_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y16A_Ord37\Y16A_Ord37_gamma_down.las,East Kimberley,Ord37,636192,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,80918219,450804,8281036,,81931,636192,AUS,WA,16.144,0.1,m,Australian Height Datum,known,top of casing protector,ground level,0.85,m,"Ord37,Y16A",digital elevation model,128.5422522,-15.5464175,81931,AMG Zone 52 (AGD 84),10,0.85,16.144,mAHD,GDA94 / MGA zone 52,450915.4352,8281183.791,GDA94,0,0,14.68,14.75,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,Y16A_Ord37,Y16A_Ord37,31/10/2016,31/10/2016,,,450804,450804,8281036,8281036,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Ord,Ord,Carlton Hill,Carlton Hill
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Yow_bore\Yow_Bore_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Yow_bore\Yow_Bore_gamma_down.las,East Kimberley,Yow_Bore,627062,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,81010175,470932,8351821,,82465,627062,AUS,WA,6.308,0.1,m,Australian Height Datum,known,top of casing,ground level,0.48,m,"CGDH6,Yow Bore",digital elevation model,128.7297347,-14.9080989,82465,MGA94 Zone 52,5,0.48,6.308,mAHD,GDA94 / MGA zone 52,470931.9952,8351820.997,GDA94,0,0,30.7,30.78,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,Yow Bore,Yow Bore,25/10/2016,25/10/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Bonaparte,Bonaparte,Carlton Hill,Carlton Hill
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\13BP01D\13BP01D_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\13BP01D\13BP01D_gamma_down_0p020_1p0mmin.las,East Kimberley,13BP01D,627061,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe,13BP01D,473886.62,8333260.73,,82465,627061,AUS,WA,84.04,0.1,m,Australian Height Datum,assumed,top of casing protector,ground level,0.73,m,,GPS differential observation,128.7570292,-15.0759335,82465,MGA94 Zone 52,10,0.73,84.04,mAHD,GDA94 / MGA zone 52,473887.997,8333260.996,GDA94,0.645,0.8208,166.985,166.9808,0,0,-99999,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_induction_down_relogged.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_gamma_down_relogged.las,East Kimberley,17BP01I,621622,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe,17BP01I,478993.383,8335027.204,,82465,621622,AUS,WA,41.75,0.1,m,Australian Height Datum,assumed,top of casing,ground level,905,mm,,GPS differential observation,128.8045489,-15.0600109,82465,MGA94 Zone 52,5,0.905,41.75,mAHD,GDA94 / MGA zone 52,478993.3832,8335027.208,GDA94,0.635,0.8008,126.005,125.9908,0,0,-99999,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_induction_down_relogged_run6.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_gamma_down_relogged.las,East Kimberley,17BP03I,621623,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe,17BP03I,469012.153,8340498.65,,82465,621623,AUS,WA,109.525,0.1,m,Australian Height Datum,assumed,top of casing,ground level,410,mm,,GPS differential observation,128.711748,-15.0104441,82465,MGA94 Zone 52,5,0.41,109.525,mAHD,GDA94 / MGA zone 52,469012.1479,8340498.654,GDA94,0.635,0.8008,48.005,48.0108,0,0,-99999,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_gamma_down.las,East Kimberley,17BP04I,621624,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe,17BP04I,462705.715,8344019.122,,82465,621624,AUS,WA,66.474,0.1,m,Australian Height Datum,assumed,top of casing,ground level,540,mm,,GPS differential observation,128.6531369,-14.9785335,82465,MGA94 Zone 52,5,0.54,66.474,mAHD,GDA94 / MGA zone 52,462705.7099,8344019.117,GDA94,0.635,0.8008,61.025,61.0108,0,0,-99999,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP05I\17BP05I_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP05I\17BP05I_gamma_down.las,East Kimberley,17BP05I,621625,5,top of casing,HII-383 Induction Conductivity Probe,A031 Natural Gamma Probe,17BP05I,461179.05,8347241.926,,82465,621625,AUS,WA,41.333,0.1,m,Australian Height Datum,assumed,top of casing,ground level,560,mm,,GPS differential observation,128.6389869,-14.9493738,82465,MGA94 Zone 52,5,0.56,41.333,mAHD,GDA94 / MGA zone 52,461179.0549,8347241.926,GDA94,0.6496,0.8008,95.0096,95.0008,0,0,-99999,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP06I\17BP06I_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP06I\17BP06I_gamma_down.las,East Kimberley,17BP06I,627063,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe,17BP06I,476482.346,8321899.871,,82465,627063,AUS,WA,94.617,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.58,m,,GPS differential observation,128.7810639,-15.1786747,82465,MGA94 Zone 52,5,0.58,94.617,mAHD,GDA94 / MGA zone 52,476482.3428,8321899.872,GDA94,0.6454,0.8008,103.0154,103.0008,0,0,-99999,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP07D\17BP07D_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP07D\17BP07D_gamma_down.las,East Kimberley,17BP07D,627064,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe,RN039880,468859.889,8331473.34,,82465,627064,AUS,WA,93.167,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.43,m,17BP07I,GPS differential observation,128.7102214,-15.0920408,82465,MGA94 Zone 52,5,0.43,93.167,mAHD,GDA94 / MGA zone 52,468859.8865,8331473.341,GDA94,0.645,0.8808,78.495,78.4308,0,0.05,-99999,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC13\KC13_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC13\KC13_gamma_down.las,East Kimberley,KC13,636198,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe,80918510,495809.481,8277098.459,,82465,636198,AUS,WA,25.753,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.87,m,KC13,GPS differential observation,128.9609131,-15.5838237,82465,MGA94 Zone 52,5,0.87,25.753,mAHD,GDA94 / MGA zone 52,495809.4844,8277098.459,GDA94,0.635,0.8008,31.985,31.9908,0,0,-99999,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
